"","spring","summer","fall"
"pop2029","1.11 (1.08, 1.14)","1.08 (1.06, 1.10)","1.01 (0.99, 1.02)"
"pop6099","0.73 (0.71, 0.75)","0.87 (0.85, 0.89)","0.96 (0.94, 0.97)"
"male","0.83 (0.79, 0.87)","1.03 (1.00, 1.05)","1.11 (1.09, 1.13)"
"metro/near metro","0.72 (0.68, 0.76)","0.97 (0.93, 1.01)","1.14 (1.11, 1.18)"
"nonmetro","0.68 (0.63, 0.74)","0.88 (0.83, 0.92)","1.22 (1.17, 1.27)"
"black","1.58 (1.53, 1.63)","1.14 (1.11, 1.17)","0.96 (0.94, 0.98)"
"hispanic","1.46 (1.42, 1.50)","1.29 (1.26, 1.32)","1.07 (1.05, 1.10)"
"amind","1.13 (1.09, 1.18)","1.02 (0.99, 1.06)","1.06 (1.04, 1.09)"
"asian","1.18 (1.16, 1.20)","1.03 (1.02, 1.05)","0.94 (0.93, 0.95)"
"nhpi","1.08 (1.05, 1.11)","1.04 (1.02, 1.06)","1.01 (0.99, 1.03)"
"wbseg","1.33 (1.28, 1.39)","1.11 (1.08, 1.14)","0.98 (0.97, 1.00)"
"wnwseg","1.31 (1.27, 1.35)","1.10 (1.07, 1.13)","0.99 (0.97, 1.01)"
"household","1.25 (1.23, 1.28)","1.15 (1.13, 1.17)","1.07 (1.05, 1.08)"
"noHealthInsurance","1.28 (1.23, 1.32)","1.28 (1.25, 1.32)","1.16 (1.13, 1.19)"
"poverty","1.18 (1.15, 1.22)","1.14 (1.12, 1.17)","1.07 (1.05, 1.08)"
"noHighSchool","1.39 (1.36, 1.43)","1.23 (1.21, 1.26)","1.13 (1.11, 1.15)"
"percentedu","0.96 (0.93, 0.99)","1.01 (0.99, 1.03)","1.01 (0.99, 1.02)"
"smoking","0.92 (0.89, 0.95)","1.03 (1.01, 1.06)","1.12 (1.10, 1.14)"
"obesity","0.92 (0.90, 0.94)","1.00 (0.98, 1.02)","1.10 (1.08, 1.12)"
"asthma","1.16 (1.13, 1.19)","1.10 (1.07, 1.12)","0.99 (0.97, 1.00)"
"cancer","1.08 (1.06, 1.11)","1.03 (1.01, 1.06)","0.91 (0.89, 0.92)"
"COPD","0.86 (0.83, 0.89)","1.00 (0.98, 1.03)","1.08 (1.06, 1.11)"
"diabetes","1.42 (1.38, 1.45)","1.23 (1.20, 1.25)","1.10 (1.08, 1.12)"
"HF","1.28 (1.25, 1.32)","1.15 (1.13, 1.18)","1.08 (1.06, 1.10)"
"HTN","1.38 (1.33, 1.44)","1.28 (1.24, 1.33)","1.14 (1.11, 1.17)"
"KD","1.22 (1.18, 1.26)","1.23 (1.21, 1.26)","1.07 (1.05, 1.09)"
"stroke","1.33 (1.29, 1.38)","1.18 (1.15, 1.21)","0.97 (0.95, 0.99)"
"ICU","1.20 (1.17, 1.23)","1.09 (1.08, 1.11)","0.98 (0.96, 0.99)"
"nursing","1.10 (1.08, 1.11)","1.05 (1.03, 1.06)","0.99 (0.98, 1.00)"
