"","spring","summer","fall"
"scale(Pop2029)","1.00 (0.95, 1.05)","1.01 (0.98, 1.04)","0.99 (0.97, 1.02)"
"scale(Pop6099)","0.92 (0.86, 0.97)","0.94 (0.90, 0.98)","0.93 (0.90, 0.96)"
"scale(Male)","1.05 (1.01, 1.10)","1.09 (1.06, 1.12)","1.04 (1.02, 1.07)"
"RuralCont1","0.94 (0.88, 1.01)","1.05 (1.00, 1.10)","1.06 (1.02, 1.10)"
"RuralCont0","1.01 (0.89, 1.14)","1.04 (0.97, 1.13)","1.09 (1.03, 1.14)"
"scale(logBlack)","1.48 (1.41, 1.56)","0.97 (0.94, 1.00)","0.96 (0.93, 0.98)"
"scale(logHispanic)","1.18 (1.13, 1.24)","1.17 (1.14, 1.21)","1.04 (1.01, 1.07)"
"scale(logAmInd)","1.13 (1.08, 1.19)","0.95 (0.92, 0.98)","1.01 (0.99, 1.04)"
"scale(logAsian)","0.97 (0.94, 1.00)","0.97 (0.95, 0.99)","0.93 (0.91, 0.95)"
"scale(logNHPI)","1.00 (0.97, 1.03)","1.02 (1.00, 1.04)","0.99 (0.97, 1.01)"
"scale(WBSeg)","1.12 (1.06, 1.18)","1.01 (0.98, 1.04)","1.00 (0.98, 1.02)"
"scale(WNWSeg)","1.15 (1.10, 1.20)","1.07 (1.04, 1.11)","1.02 (1.00, 1.04)"
"scale(HouseholdSize)","1.04 (1.00, 1.08)","1.03 (1.00, 1.06)","1.01 (0.99, 1.04)"
"scale(noHealthInsurance)","0.86 (0.82, 0.91)","0.99 (0.95, 1.04)","0.95 (0.91, 0.99)"
"scale(Poverty)","0.95 (0.89, 1.01)","1.06 (1.02, 1.11)","0.95 (0.92, 0.98)"
"scale(noHighSchool)","1.37 (1.29, 1.45)","1.10 (1.06, 1.15)","1.12 (1.08, 1.15)"
"scale(PercentEduHealthSoc)","0.98 (0.95, 1.02)","1.06 (1.03, 1.08)","1.02 (1.00, 1.04)"
"scale(Smoking)","0.91 (0.86, 0.96)","1.01 (0.97, 1.05)","0.99 (0.96, 1.03)"
"scale(Obesity)","0.95 (0.92, 0.99)","1.01 (0.98, 1.03)","1.00 (0.98, 1.02)"
"scale(Asthma)","0.95 (0.92, 0.99)","1.00 (0.98, 1.02)","0.99 (0.97, 1.00)"
"scale(Cancer)","1.08 (1.03, 1.12)","1.07 (1.04, 1.10)","0.96 (0.94, 0.98)"
"scale(COPD)","0.90 (0.86, 0.95)","0.89 (0.86, 0.92)","1.00 (0.97, 1.02)"
"scale(Diabetes)","1.15 (1.10, 1.21)","0.94 (0.90, 0.98)","0.99 (0.96, 1.02)"
"scale(HF)","0.97 (0.93, 1.02)","1.02 (0.99, 1.05)","1.06 (1.04, 1.09)"
"scale(HTN)","1.16 (1.07, 1.25)","1.17 (1.11, 1.24)","1.10 (1.05, 1.15)"
"scale(KD)","0.83 (0.79, 0.88)","1.05 (1.01, 1.08)","1.00 (0.97, 1.02)"
"scale(Stroke)","0.99 (0.94, 1.03)","1.03 (1.00, 1.07)","0.95 (0.93, 0.97)"
"scale(ICUBeds)","0.92 (0.89, 0.96)","0.99 (0.96, 1.01)","1.09 (1.07, 1.11)"
"scale(NursingHomeBeds)","0.97 (0.95, 0.98)","1.02 (1.01, 1.03)","1.00 (0.99, 1.01)"
