"","spring","summer","fall"
"pop2029","1.08 (1.05, 1.11)","0.94 (0.92, 0.97)","0.83 (0.81, 0.86)"
"pop6099","0.77 (0.74, 0.80)","1.01 (0.97, 1.04)","1.27 (1.24, 1.30)"
"male","0.45 (0.41, 0.48)","0.93 (0.88, 0.98)","1.21 (1.17, 1.26)"
"metro/near metro","0.59 (0.55, 0.63)","1.08 (1.01, 1.15)","1.80 (1.69, 1.91)"
"nonmetro","0.53 (0.48, 0.58)","1.16 (1.07, 1.25)","2.64 (2.47, 2.82)"
"black","2.00 (1.92, 2.08)","1.10 (1.06, 1.14)","0.76 (0.74, 0.79)"
"hispanic","1.31 (1.26, 1.36)","1.22 (1.18, 1.27)","0.85 (0.82, 0.88)"
"amind","1.17 (1.12, 1.23)","1.11 (1.06, 1.17)","1.15 (1.10, 1.20)"
"asian","1.18 (1.16, 1.21)","0.94 (0.92, 0.96)","0.74 (0.72, 0.75)"
"nhpi","1.03 (0.99, 1.07)","1.00 (0.97, 1.04)","0.94 (0.91, 0.98)"
"wbseg","1.48 (1.42, 1.55)","1.06 (1.02, 1.10)","0.79 (0.76, 0.81)"
"wnwseg","1.53 (1.47, 1.59)","1.09 (1.05, 1.13)","0.86 (0.83, 0.89)"
"household","1.15 (1.12, 1.19)","1.15 (1.12, 1.19)","0.90 (0.87, 0.92)"
"noHealthInsurance","1.32 (1.26, 1.39)","1.60 (1.53, 1.67)","1.33 (1.28, 1.39)"
"poverty","1.32 (1.28, 1.36)","1.32 (1.28, 1.36)","1.17 (1.14, 1.21)"
"noHighSchool","1.45 (1.41, 1.50)","1.49 (1.45, 1.53)","1.18 (1.15, 1.21)"
"percentedu","0.96 (0.92, 0.99)","1.02 (0.99, 1.06)","1.06 (1.03, 1.09)"
"smoking","0.99 (0.95, 1.03)","1.15 (1.11, 1.19)","1.39 (1.34, 1.44)"
"obesity","0.86 (0.83, 0.89)","1.11 (1.08, 1.14)","1.33 (1.29, 1.36)"
"asthma","1.22 (1.18, 1.26)","1.06 (1.02, 1.09)","0.83 (0.80, 0.85)"
"cancer","1.12 (1.08, 1.16)","0.94 (0.91, 0.98)","0.78 (0.76, 0.80)"
"COPD","0.88 (0.85, 0.92)","1.13 (1.10, 1.18)","1.31 (1.27, 1.35)"
"diabetes","1.62 (1.57, 1.67)","1.49 (1.44, 1.53)","1.11 (1.08, 1.14)"
"HF","1.53 (1.48, 1.58)","1.34 (1.30, 1.39)","1.12 (1.09, 1.16)"
"HTN","1.61 (1.52, 1.69)","1.70 (1.62, 1.79)","1.22 (1.17, 1.28)"
"KD","1.35 (1.30, 1.40)","1.43 (1.38, 1.48)","1.02 (0.99, 1.05)"
"stroke","1.57 (1.51, 1.64)","1.31 (1.26, 1.36)","0.85 (0.82, 0.88)"
"ICU","1.35 (1.32, 1.39)","1.07 (1.04, 1.10)","0.81 (0.79, 0.83)"
"nursing","1.15 (1.12, 1.17)","1.04 (1.02, 1.06)","0.90 (0.88, 0.92)"
